Name,Symbol,Price (USD),Volume (USD),Market capacity (USD),Change (1h),Change (24h),Change (7d)
LoMoCoin,LMC,0.0487414,493831.0,10709645.3704,2.09%,16.68%,7.42%
Lunyr,LUN,4.65179,255492.0,10689129.9722,-2.16%,-3.70%,-7.47%
WhiteCoin,XWC,0.0426672,119681.0,10602086.8793,-3.43%,0.83%,-13.51%
TransferCoin,TX,1.68622,232886.0,10459607.484,-3.09%,3.23%,-18.47%
FlorinCoin,FLO,0.0747538,154190.0,10449103.2034,-3.49%,3.12%,-15.43%
Waves Communi...,WCT,1.04119,23465.8,10385791.1196,-0.81%,-10.56%,-21.83%
Patientory,PTOY,0.145212,328248.0,10164840.0,0.98%,-2.92%,-14.87%
OracleChain,OCT,0.330839,21088.4,9925170.0,-0.01%,24.26%,49.30%
NeosCoin,NEOS,2.61181,162373.0,9321363.79775,-1.20%,1.17%,5.55%
Abjcoin,ABJ,1.12739,89572.7,9318089.21607,-1.23%,41.42%,
Farad,FRD,0.0580163,9983.12,9282608.0,-21.46%,-10.33%,-20.44%
OAX,OAX,0.369994,247669.0,9253272.2891,-2.11%,-5.16%,-21.63%
Pascal Coin,PASC,0.609062,1888330.0,9222294.9916,2.51%,-14.83%,97.58%
Dimecoin,DIME,1.71389e-05,1315.98,9209718.1051,29.98%,71.26%,17.51%
OBITS,OBITS,0.583097,13510.5,9207043.28829,1.96%,14.48%,11.04%
BlockCAT,CAT,1.24835,209873.0,9188007.18997,-4.44%,51.51%,93.39%
Mooncoin,MOON,4.08311e-05,11449.4,9095329.30646,0.06%,-4.70%,95.23%
Centurion,CNT,0.123222,33986.4,9052157.59529,-1.90%,13.87%,-19.99%
Wagerr,WGR,0.0491545,21180.8,8995273.5,-1.46%,-0.24%,2.26%
Databits,DTB,0.392734,20414.9,8933837.82344,2.80%,3.51%,-26.39%
Unobtanium,UNO,44.7793,79673.2,8859219.33378,-0.42%,10.78%,-17.58%
Novacoin,NVC,4.61496,106237.0,8762547.2541,-3.10%,3.65%,-12.26%
Quantum,QAU,0.110668,28128.2,8685330.34912,-0.42%,22.71%,-3.63%
Swarm City,SWT,1.11569,40240.2,8608599.68123,-3.17%,-2.70%,-16.08%
Sphere,SPHR,2.78938,5226.85,8599491.94716,-2.26%,3.97%,-7.74%
Rivetz,RVT,0.327334,31949.0,8590706.74723,-3.18%,-3.19%,6.28%
Voxels,VOX,0.0408032,129871.0,8568672.0,-2.58%,2.01%,5.28%
Gambit,GAM,7.0546,9302.25,8448458.40129,-1.00%,9.47%,-3.01%
iXledger,IXT,0.228892,85305.5,8189491.12221,-0.90%,-1.98%,-2.37%
Spectrecoin,XSPEC,0.392431,26717.7,8156781.97257,-3.54%,-8.43%,-23.25%
Change,CAG,0.255841,205477.0,8103417.34974,-0.57%,-6.61%,-10.34%
Bitcoin Plus,XBC,78.3834,773876.0,8062838.05616,-1.87%,-16.97%,53.09%
Decision Token,HST,0.258833,385931.0,7988353.0588,-3.39%,-30.77%,
HTMLCOIN,HTML5,0.000195105,49711.7,7932778.0971,-12.47%,17.63%,39.19%
Hive,HVN,0.0205972,102905.0,7723950.0,-1.00%,-0.19%,-15.48%
EncryptoTel [...,ETT,0.123546,2243.07,7676059.95032,-1.28%,9.65%,-14.01%
Confido,CFD,0.849411,927468.0,7644699.0,-2.33%,-22.00%,52.17%
PinkCoin,PINK,0.020189,122996.0,7446402.74885,-1.16%,5.82%,-11.34%
Incent,INCNT,0.161486,79127.9,7431040.70475,-0.89%,5.73%,-0.78%
